"NUTS2","GDP","population","GDP_per_cap"
"DE80",41108.490149,1612362,25495.8192694941
"DE93",44567.254377,1699969,26216.5100522421
"DEE0",59088.404112,2245470,26314.4927841387
"DED4",39213.472645,1465612,26755.6984010775
"DE40",67295.736261,2484826,27082.6755116857
"DEG0",59148.52444,2170714,27248.4189257544
"DED2",46690.917429,1602754,29131.6804880849
"DEB2",15622.325815,532715,29325.8605727265
"DEF0",87164.823302,2858714,30490.9211981332
"DED5",31303.552087,1016485,30795.8819726804
"DEB1",46572.323622,1488308,31292.1274507696
"DEA3",82085.422179,2614229,31399.4765489175
"DE72",33580.514959,1040091,32286.1316548264
"DEA5",117773.71591,3597297,32739.5029962775
"DE94",83515.128329,2496176,33457.2275067944
"DEC0",34235.834604,995597,34387.241628892
"DE73",42781.775308,1213712,35248.704229669
"DE24",38026.172893,1059358,35895.4884873669
"DEA4",73907.34684,2057996,35912.2888674225
"DEB3",73811.306126,2031780,36328.3948685389
"DE13",81002.530963,2224535,36413.2418518926
"DE92",78045.515274,2132289,36601.7529865792
"DE22",45379.101618,1212119,37437.8271588846
"DE30",132180.64653,3520030,37551
"DE27",69979.383067,1846020,37908.2475092361
"DE26",50464.249521,1306048,38638.8934564426
"DEA1",201349.268731,5173623,38918.4269381437
"DE23",43384.617843,1092339,39717.1737372739
"DEA2",177572.335402,4422369,40153.2154829233
"DE14",75373.044295,1823573,41332.6169530915
"DE12",115736.292423,2761977,41903.4236791255
"DE25",73686.547252,1738686,42380.5950309602
"DE91",74192.458627,1598164,46423.5576743063
"DE50",31174.82251,671489,46426.4083402707
"DE11",201192.637217,4069533,49438.7530994343
"DE71",193948.263548,3922369,49446.7153773651
"DE21",254540.109946,4588943,55468.1350249938
"DE60",109834.55709,1787410,61449
