"NUTS3","apps","tech"
"DE11C",0,"lowest"
"DE149",0,"lowest"
"DE222",0,"lowest"
"DE243",0,"lowest"
"DE244",0,"lowest"
"DE249",0,"lowest"
"DE262",0,"lowest"
"DE272",0,"lowest"
"DE273",0,"lowest"
"DE401",0,"lowest"
"DE407",0,"lowest"
"DE40B",0,"lowest"
"DE40F",0,"lowest"
"DE40I",0,"lowest"
"DE502",0,"lowest"
"DE80O",0,"lowest"
"DE912",0,"lowest"
"DE934",0,"lowest"
"DE935",0,"lowest"
"DE93A",0,"lowest"
"DE942",0,"lowest"
"DE945",0,"lowest"
"DE94H",0,"lowest"
"DEB15",0,"lowest"
"DEB1C",0,"lowest"
"DEB21",0,"lowest"
"DEB23",0,"lowest"
"DEB37",0,"lowest"
"DEB3G",0,"lowest"
"DEB3K",0,"lowest"
"DED44",0,"lowest"
"DEE01",0,"lowest"
"DEE04",0,"lowest"
"DEE0D",0,"lowest"
"DEE0E",0,"lowest"
"DEF07",0,"lowest"
"DEG04",0,"lowest"
"DEG06",0,"lowest"
"DEG07",0,"lowest"
"DEG0G",0,"lowest"
"DEG0N",0,"lowest"
"DEG0P",0,"lowest"
"DE948",0.07,"lowest"
"DE274",0.17,"lowest"
"DE94A",0.2,"lowest"
"DEC02",0.2,"lowest"
"DE40D",0.24,"lowest"
"DE923",0.25,"lowest"
"DE947",0.25,"lowest"
"DEA28",0.25,"lowest"
"DEB1D",0.25,"lowest"
"DEF08",0.25,"lowest"
"DE229",0.28,"lowest"
"DE25C",0.33,"lowest"
"DE278",0.33,"lowest"
"DE80L",0.33,"lowest"
"DE80M",0.33,"lowest"
"DE927",0.33,"lowest"
"DE94C",0.33,"lowest"
"DEB3A",0.33,"lowest"
"DEE08",0.33,"lowest"
"DEG0A",0.33,"lowest"
"DEG0B",0.33,"lowest"
"DEG0I",0.33,"lowest"
"DEC06",0.4,"lowest"
"DEE0A",0.41,"lowest"
"DEB25",0.42,"lowest"
"DE71B",0.44,"lowest"
"DEA18",0.48,"lowest"
"DE121",0.5,"lowest"
"DE225",0.5,"lowest"
"DE733",0.5,"lowest"
"DE736",0.5,"lowest"
"DE94B",0.5,"lowest"
"DE94G",0.5,"lowest"
"DEB13",0.5,"lowest"
"DEB22",0.5,"lowest"
"DEC04",0.5,"lowest"
"DEF0A",0.5,"lowest"
"DEG0K",0.5,"lowest"
"DEG0L",0.5,"lowest"
"DE22A",0.53,"lowest"
"DE917",0.53,"lowest"
"DE926",0.58,"lowest"
"DE946",0.58,"lowest"
"DEA15",0.58,"lowest"
"DE233",0.67,"lowest"
"DE24D",0.67,"lowest"
"DEB14",0.67,"lowest"
"DEB24",0.67,"lowest"
"DEG02",0.67,"lowest"
"DEG0M",0.67,"lowest"
"DE91A",0.68,"lowest"
"DE27B",0.7,"lowest"
"DE24A",0.75,"low"
"DE725",0.75,"low"
"DE803",0.75,"low"
"DEA29",0.75,"low"
"DEC03",0.75,"low"
"DEE06",0.75,"low"
"DEE09",0.75,"low"
"DEE0C",0.75,"low"
"DEF0C",0.75,"low"
"DEB1A",0.79,"low"
"DEA31",0.81,"low"
"DE21I",0.83,"low"
"DEB3H",0.83,"low"
"DEE07",0.83,"low"
"DEF0E",0.83,"low"
"DE247",0.87,"low"
"DEB11",0.9,"low"
"DEB31",0.9,"low"
"DE127",0.92,"low"
"DE24B",0.92,"low"
"DE223",1,"low"
"DE265",1,"low"
"DE267",1,"low"
"DE27C",1,"low"
"DE402",1,"low"
"DE409",1,"low"
"DE40G",1,"low"
"DE713",1,"low"
"DE737",1,"low"
"DE80J",1,"low"
"DE913",1,"low"
"DE932",1,"low"
"DE941",1,"low"
"DE94F",1,"low"
"DEA59",1,"low"
"DEB12",1,"low"
"DEF01",1,"low"
"DEF04",1,"low"
"DEG0C",1,"low"
"DEG0D",1,"low"
"DEG0E",1,"low"
"DEG0H",1,"low"
"DED53",1.05,"low"
"DEB3F",1.07,"low"
"DE266",1.1,"low"
"DED2D",1.1,"low"
"DEB38",1.16,"low"
"DEF06",1.17,"low"
"DE213",1.2,"low"
"DE242",1.2,"low"
"DE40C",1.23,"low"
"DEB3B",1.23,"low"
"DE12A",1.25,"low"
"DE22C",1.25,"low"
"DE26A",1.25,"low"
"DE80K",1.25,"low"
"DEA55",1.25,"low"
"DEF05",1.25,"low"
"DE732",1.33,"low"
"DED2C",1.33,"low"
"DE714",1.37,"low"
"DE94D",1.37,"low"
"DE251",1.43,"low"
"DEE0B",1.48,"low"
"DE93B",1.5,"low"
"DEB1B",1.5,"low"
"DEB18",1.53,"low"
"DE944",1.6,"low"
"DEA54",1.6,"low"
"DEE05",1.62,"low"
"DE119",1.66,"low"
"DE928",1.67,"low"
"DE943",1.67,"low"
"DE722",1.7,"low"
"DEG0J",1.7,"low"
"DE918",1.75,"low"
"DEA44",1.82,"low"
"DE723",1.83,"low"
"DE949",1.83,"low"
"DEA17",1.83,"low"
"DEA32",1.83,"low"
"DEA57",1.92,"low"
"DEE03",1.92,"low"
"DE237",2,"low"
"DE23A",2,"low"
"DE26C",2,"low"
"DEA16",2,"low"
"DEA38",2,"low"
"DEA53",2,"low"
"DE277",2.03,"low"
"DE914",2.03,"low"
"DEF0D",2.08,"low"
"DEB33",2.12,"low"
"DED2F",2.12,"low"
"DE931",2.17,"low"
"DED52",2.18,"low"
"DE215",2.2,"low"
"DED42",2.22,"low"
"DE21D",2.23,"low"
"DE11B",2.28,"low"
"DE938",2.32,"low"
"DEA35",2.32,"low"
"DEA13",2.34,"low"
"DE403",2.35,"low"
"DE246",2.38,"low"
"DE40H",2.42,"low"
"DEB36",2.49,"low"
"DE916",2.5,"high"
"DEA1B",2.5,"high"
"DEA5A",2.5,"high"
"DEG09",2.5,"high"
"DE804",2.53,"high"
"DE135",2.57,"high"
"DE228",2.57,"high"
"DEA43",2.57,"high"
"DEB3D",2.58,"high"
"DE269",2.62,"high"
"DEB39",2.69,"high"
"DE936",2.7,"high"
"DE406",2.73,"high"
"DE235",2.95,"high"
"DE11D",2.98,"high"
"DE224",3,"high"
"DE27E",3,"high"
"DE734",3.05,"high"
"DE91B",3.18,"high"
"DE214",3.22,"high"
"DEA2A",3.25,"high"
"DEF03",3.28,"high"
"DE134",3.29,"high"
"DE221",3.33,"high"
"DE94E",3.33,"high"
"DEA46",3.42,"high"
"DEB17",3.42,"high"
"DE245",3.43,"high"
"DE13A",3.5,"high"
"DE21M",3.5,"high"
"DE26B",3.53,"high"
"DE922",3.53,"high"
"DE24C",3.6,"high"
"DE12C",3.62,"high"
"DEB34",3.69,"high"
"DE219",3.81,"high"
"DE143",3.83,"high"
"DE21G",3.83,"high"
"DE255",3.83,"high"
"DE129",3.99,"high"
"DE27A",4.08,"high"
"DE735",4.08,"high"
"DE268",4.12,"high"
"DEA1A",4.15,"high"
"DE137",4.17,"high"
"DE145",4.32,"high"
"DE146",4.32,"high"
"DEG01",4.37,"high"
"DE40E",4.41,"high"
"DE114",4.49,"high"
"DE124",4.53,"high"
"DEC05",4.53,"high"
"DE279",4.55,"high"
"DEA19",4.56,"high"
"DEB32",4.58,"high"
"DEF02",4.58,"high"
"DEE02",4.62,"high"
"DE937",4.67,"high"
"DEA5B",4.69,"high"
"DE408",4.71,"high"
"DE231",4.75,"high"
"DED45",4.82,"high"
"DEA12",4.83,"high"
"DE25A",4.9,"high"
"DEG05",4.92,"high"
"DE117",5,"high"
"DE721",5,"high"
"DE405",5.07,"high"
"DE256",5.16,"high"
"DE276",5.26,"high"
"DEB3C",5.28,"high"
"DE717",5.29,"high"
"DEA34",5.35,"high"
"DE22B",5.38,"high"
"DE80N",5.42,"high"
"DEA1E",5.43,"high"
"DE236",5.47,"high"
"DEA5C",5.48,"high"
"DEB3J",5.48,"high"
"DE133",5.49,"high"
"DEF0B",5.5,"high"
"DE241",5.7,"high"
"DE239",5.78,"high"
"DE148",5.92,"high"
"DE718",5.92,"high"
"DEA14",5.92,"high"
"DE71D",5.95,"high"
"DED2E",6.06,"high"
"DED41",6.09,"high"
"DEB3E",6.16,"high"
"DEA27",6.18,"high"
"DE211",6.2,"high"
"DEB35",6.27,"high"
"DE11A",6.5,"high"
"DE263",6.5,"high"
"DE234",6.59,"high"
"DE275",6.73,"high"
"DE731",6.8,"high"
"DE40A",6.82,"high"
"DEF09",6.94,"high"
"DEA41",7.05,"highest"
"DE21J",7.08,"highest"
"DEA37",7.1,"highest"
"DEA2B",7.3,"highest"
"DE25B",7.43,"highest"
"DEA56",7.47,"highest"
"DE27D",7.69,"highest"
"DE217",7.76,"highest"
"DE12B",7.85,"highest"
"DE227",7.88,"highest"
"DEA36",7.93,"highest"
"DE226",8.01,"highest"
"DE259",8.11,"highest"
"DEA1F",8.13,"highest"
"DED43",8.23,"highest"
"DE139",8.42,"highest"
"DE258",8.48,"highest"
"DE21A",8.67,"highest"
"DE261",8.89,"highest"
"DEG0F",9.12,"highest"
"DEA33",9.38,"highest"
"DE925",9.5,"highest"
"DE216",9.69,"highest"
"DEA24",9.73,"highest"
"DEA45",9.77,"highest"
"DE404",9.81,"highest"
"DE118",10.1,"highest"
"DE933",10.13,"highest"
"DEA58",10.19,"highest"
"DE21K",10.27,"highest"
"DE724",10.63,"highest"
"DEA52",10.66,"highest"
"DE71A",10.69,"highest"
"DE71E",10.77,"highest"
"DEB3I",10.8,"highest"
"DEA42",10.98,"highest"
"DEC01",11.29,"highest"
"DEF0F",11.33,"highest"
"DE91C",11.44,"highest"
"DEA2C",11.54,"highest"
"DE136",11.67,"highest"
"DE501",11.88,"highest"
"DEA26",11.91,"highest"
"DE21E",11.96,"highest"
"DE911",12.41,"highest"
"DEG03",12.73,"highest"
"DEA47",12.76,"highest"
"DE264",12.87,"highest"
"DE132",12.93,"highest"
"DE126",13.05,"highest"
"DE144",13.21,"highest"
"DE715",13.52,"highest"
"DE21B",13.62,"highest"
"DE138",13.7,"highest"
"DE21N",13.73,"highest"
"DED51",14.01,"highest"
"DE147",14.08,"highest"
"DE939",14.22,"highest"
"DE21F",14.85,"highest"
"DE248",14.93,"highest"
"DE719",15.75,"highest"
"DE271",16.01,"highest"
"DE116",16.18,"highest"
"DE711",16.88,"highest"
"DE253",16.99,"highest"
"DEA51",17,"highest"
"DEA22",18.21,"highest"
"DE142",18.47,"highest"
"DE21L",18.78,"highest"
"DEA1D",20.19,"highest"
"DE716",21.13,"highest"
"DE141",21.21,"highest"
"DE113",21.5,"highest"
"DE257",22.19,"highest"
"DE112",22.48,"highest"
"DE21C",22.95,"highest"
"DE131",24.72,"highest"
"DE122",25.89,"highest"
"DE125",25.98,"highest"
"DEA11",29.17,"highest"
"DE123",30.8,"highest"
"DEA1C",31.1,"highest"
"DE712",31.86,"highest"
"DE218",34.32,"highest"
"DEA2D",35.95,"highest"
"DEA23",38.8,"highest"
"DE71C",42.12,"highest"
"DE232",44.94,"highest"
"DE238",45.17,"highest"
"DE111",53.5,"highest"
"DED21",54.49,"highest"
"DE254",55.23,"highest"
"DE929",58.07,"highest"
"DE600",58.86,"highest"
"DE115",60.09,"highest"
"DE252",66.19,"highest"
"DE21H",73.32,"highest"
"DE128",100.05,"highest"
"DE300",177.51,"highest"
"DE212",276.94,"highest"
